,date,country,state,confirmed,deaths,recovered,month_year
88,2020-02-29,Nigeria,Federal Capital Territory,0,0,0,2020-02
89,2020-02-29,Nigeria,Gombe,0,0,0,2020-02
90,2020-02-29,Nigeria,Imo,0,0,0,2020-02
91,2020-02-29,Nigeria,Jigawa,0,0,0,2020-02
92,2020-02-29,Nigeria,Kaduna,0,0,0,2020-02
93,2020-02-29,Nigeria,Kano,0,0,0,2020-02
94,2020-02-29,Nigeria,Katsina,0,0,0,2020-02
95,2020-02-29,Nigeria,Kebbi,0,0,0,2020-02
96,2020-02-29,Nigeria,Kogi,0,0,0,2020-02
97,2020-02-29,Nigeria,Kwara,0,0,0,2020-02
98,2020-02-29,Nigeria,Lagos,0,0,0,2020-02
99,2020-02-29,Nigeria,Nasarawa,0,0,0,2020-02
100,2020-02-29,Nigeria,Niger,0,0,0,2020-02
101,2020-02-29,Nigeria,Ogun,0,0,0,2020-02
102,2020-02-29,Nigeria,Osun,0,0,0,2020-02
103,2020-02-29,Nigeria,Ondo,0,0,0,2020-02
104,2020-02-29,Nigeria,Oyo,0,0,0,2020-02
105,2020-02-29,Nigeria,Plateau,0,0,0,2020-02
106,2020-02-29,Nigeria,Rivers,0,0,0,2020-02
107,2020-02-29,Nigeria,Sokoto,0,0,0,2020-02
108,2020-02-29,Nigeria,Taraba,0,0,0,2020-02
109,2020-02-29,Nigeria,Yobe,0,0,0,2020-02
110,2020-02-29,Nigeria,Zamfara,0,0,0,2020-02
111,2020-03-01,Nigeria,Abia,0,0,0,2020-03
112,2020-03-01,Nigeria,Adamawa,0,0,0,2020-03
113,2020-03-01,Nigeria,Akwa Ibom,0,0,0,2020-03
114,2020-03-01,Nigeria,Anambra,0,0,0,2020-03
115,2020-03-01,Nigeria,Bauchi,0,0,0,2020-03
116,2020-03-01,Nigeria,Bayelsa,0,0,0,2020-03
117,2020-03-01,Nigeria,Benue,0,0,0,2020-03
118,2020-03-01,Nigeria,Borno,0,0,0,2020-03
119,2020-03-01,Nigeria,Cross River,0,0,0,2020-03
120,2020-03-01,Nigeria,Delta,0,0,0,2020-03
121,2020-03-01,Nigeria,Ebonyi,0,0,0,2020-03
122,2020-03-01,Nigeria,Edo,0,0,0,2020-03
123,2020-03-01,Nigeria,Ekiti,0,0,0,2020-03
124,2020-03-01,Nigeria,Enugu,0,0,0,2020-03
125,2020-03-01,Nigeria,Federal Capital Territory,0,0,0,2020-03
126,2020-03-01,Nigeria,Gombe,0,0,0,2020-03
127,2020-03-01,Nigeria,Imo,0,0,0,2020-03
128,2020-03-01,Nigeria,Jigawa,0,0,0,2020-03
129,2020-03-01,Nigeria,Kaduna,0,0,0,2020-03
130,2020-03-01,Nigeria,Kano,0,0,0,2020-03
131,2020-03-01,Nigeria,Katsina,0,0,0,2020-03
132,2020-03-01,Nigeria,Kebbi,0,0,0,2020-03
133,2020-03-01,Nigeria,Kogi,0,0,0,2020-03
134,2020-03-01,Nigeria,Kwara,0,0,0,2020-03
135,2020-03-01,Nigeria,Lagos,0,0,0,2020-03
136,2020-03-01,Nigeria,Nasarawa,0,0,0,2020-03
137,2020-03-01,Nigeria,Niger,0,0,0,2020-03
138,2020-03-01,Nigeria,Ogun,0,0,0,2020-03
